+----------+---------------+---------------+-------------+--------------------+--------------------+--------------------+
| Borough  |     Zone      | init_location | fare_amount |  overall_avg_fare  |  borough_avg_fare  |   Zone_avg_fare    |
| Queens   | Fresh Meadows | 98            | 18.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 290.0       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.0        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 100.0       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 18.77       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 21.95       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 77.7        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | -42.0       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 26.2        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 19.34       | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Queens   | Fresh Meadows | 98            | 10.4        | 12.929082202356991 | 35.50455084760312  | 33.33599999999998  |
| Brooklyn | Dyker Heights | 67            | 40.91       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 44.98       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.5        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 2.5         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 3.0         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 78.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 28.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 53.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 88.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 2.5         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 2.5         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 2.5         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.5        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 71.14       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 32.16       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 40.91       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 42.35       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 20.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 48.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 34.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 22.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 61.85       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 16.61       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 51.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 29.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 40.91       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 48.71       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 21.01       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 38.73       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.43       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 32.61       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 16.61       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 36.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 20.44       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 26.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 25.55       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 5.0         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 72.5        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 7.0         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | -7.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 16.61       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 62.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 18.45       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.93       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.93       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 48.5        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 7.0         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | -7.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 85.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 18.95       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 47.71       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.43       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 19.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 8.0         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 30.74       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 16.52       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 13.94       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 23.54       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 40.79       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 15.91       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 41.27       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 11.2        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 2.5         | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 63.88       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 24.16       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 42.98       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 22.61       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 18.18       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 31.81       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 35.0        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 49.5        | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
| Brooklyn | Dyker Heights | 67            | 18.45       | 12.929082202356991 | 23.638353367559784 | 29.280184049079715 |
